,display_name,name,start_date,end_date,type
159944.XSHE,材料ETF,QZCL,2015-07-06,2200-01-01,etf
159945.XSHE,能源ETF基金,QZNY,2015-07-06,2200-01-01,etf
159946.XSHE,全指消费,QZXF,2015-07-13,2018-12-27,etf
159948.XSHE,创业板ETF南方,CYBEF,2016-05-31,2200-01-01,etf
159949.XSHE,创业板50ETF,CYB50,2016-07-22,2200-01-01,etf
159950.XSHE,深成指EF,SCZEF,2017-05-10,2019-07-11,etf
159951.XSHE,中关村ETF,ZGCA,2017-07-10,2200-01-01,etf
159952.XSHE,创业板ETF广发,CYETF,2017-05-19,2200-01-01,etf
159953.XSHE,工业ETF,GYETF,2017-07-14,2020-12-16,etf
159954.XSHE,H股ETF,HGETF,2018-03-15,2200-01-01,etf
159955.XSHE,创业板ETF嘉实,CYBE,2017-08-23,2200-01-01,etf
159956.XSHE,创业板ETF建信,CYBF,2018-03-07,2200-01-01,etf
159957.XSHE,创业板ETF华夏,CYBHX,2018-01-04,2200-01-01,etf
159958.XSHE,创业板ETF工银,CYBET,2018-01-19,2200-01-01,etf
159959.XSHE,央企ETF,YHYQ,2019-01-18,2200-01-01,etf
159960.XSHE,H股ETF港股通,HSGQ,2018-10-22,2200-01-01,etf
159961.XSHE,深100ETF方正富邦,S100,2018-12-19,2200-01-01,etf
159962.XSHE,四川ETF,SCGG,2019-04-18,2200-01-01,etf
159963.XSHE,恒生中国,HSZG,2019-03-26,2021-05-24,etf
159964.XSHE,平安创业板ETF,CYBPA,2019-04-19,2200-01-01,etf
159965.XSHE,央视50ETF,YS50,2019-04-24,2200-01-01,etf
159966.XSHE,创蓝筹ETF,CLC,2019-07-15,2200-01-01,etf
159967.XSHE,创成长ETF,CCZ,2019-07-15,2200-01-01,etf
159968.XSHE,中证500ETF博时,ZZ500ETF,2019-10-31,2200-01-01,etf
159969.XSHE,深100ETF银华,S100P,2019-08-28,2200-01-01,etf
159970.XSHE,深100ETF工银,S100ET,2020-01-10,2200-01-01,etf
159971.XSHE,创业板ETF富国,CYBFG,2019-07-02,2200-01-01,etf
159972.XSHE,5年地债ETF,5NDZ,2019-11-08,2200-01-01,etf
159973.XSHE,民企领先100ETF,MQ100,2019-08-09,2200-01-01,etf
159974.XSHE,央企创新ETF,YQCX,2019-12-18,2200-01-01,etf
159975.XSHE,深100ETF招商,S100SZ,2020-01-02,2200-01-01,etf
159976.XSHE,湾创ETF,WCETF,2020-01-17,2200-01-01,etf
159977.XSHE,创业板ETF天弘,CYBTH,2019-09-27,2200-01-01,etf
159978.XSHE,大湾区ETF,WQETF,2020-04-14,2200-01-01,etf
159979.XSHE,湾创100ETF,WC100,2020-02-14,2200-01-01,etf
159980.XSHE,有色ETF,YSQH,2019-12-24,2200-01-01,etf
159981.XSHE,能源化工ETF,NYHG,2020-01-17,2200-01-01,etf
159982.XSHE,中证500ETF鹏华,ZZ500,2020-02-20,2200-01-01,etf
159983.XSHE,粤港澳大湾区ETF,DWQ,2020-04-23,2200-01-01,etf
159984.XSHE,湾区100ETF,WQJJ,2020-01-17,2200-01-01,etf
159985.XSHE,豆粕ETF,DPETF,2019-12-05,2200-01-01,etf
159986.XSHE,消费100ETF,XF100,2020-01-20,2200-01-01,etf
159987.XSHE,科技创新ETF,CXETF,2019-11-18,2200-01-01,etf
159988.XSHE,粤债ETF,YZETF,2020-05-29,2200-01-01,etf
159990.XSHE,小盘价值ETF,XPJZ,2020-01-20,2200-01-01,etf
159991.XSHE,创大盘ETF,CDP,2020-04-24,2200-01-01,etf
159992.XSHE,创新药ETF,CXY,2020-04-10,2200-01-01,etf
159993.XSHE,龙头券商ETF,LTQS,2020-02-07,2200-01-01,etf
159994.XSHE,5GETF,5GETF,2020-02-28,2200-01-01,etf
159995.XSHE,芯片ETF,XPETF,2020-02-10,2200-01-01,etf
159996.XSHE,家电ETF,JDETF,2020-03-16,2200-01-01,etf
159997.XSHE,电子ETF,DZETF,2020-03-20,2200-01-01,etf
159998.XSHE,计算机ETF,JSJ,2020-04-13,2200-01-01,etf
159999.XSHE,永赢中证500ETF,YY500,2020-08-12,2200-01-01,etf
510010.XSHG,治理ETF,ZLETF,2009-12-15,2200-01-01,etf
510020.XSHG,超大ETF,CDETF,2010-03-19,2200-01-01,etf
510030.XSHG,价值ETF,JZETF,2010-05-28,2200-01-01,etf
510050.XSHG,50ETF,50ETF,2005-02-23,2200-01-01,etf
510060.XSHG,央企ETF,YQETF,2009-10-27,2200-01-01,etf
510070.XSHG,民企ETF,MQETF,2010-10-29,2020-08-12,etf
510090.XSHG,ESG建信,ZRETF,2010-08-09,2200-01-01,etf
510100.XSHG,SZ50ETF,SZ50ETF,2019-10-09,2200-01-01,etf
510110.XSHG,周期ETF,ZQETF,2010-11-15,2200-01-01,etf
510120.XSHG,非周ETF,FZETF,2011-06-08,2200-01-01,etf
510130.XSHG,中盘ETF,ZPETF,2010-06-23,2200-01-01,etf
510150.XSHG,消费ETF,XFETF,2011-02-25,2200-01-01,etf
510160.XSHG,产业升级,XKETF,2010-11-01,2200-01-01,etf
510170.XSHG,商品ETF,SPETF,2011-01-25,2200-01-01,etf
510180.XSHG,180ETF,180ETF,2006-05-18,2200-01-01,etf
510190.XSHG,龙头ETF,LTETF,2011-01-10,2200-01-01,etf
510200.XSHG,上证券商,SZQS,2020-05-08,2200-01-01,etf
510210.XSHG,综指ETF,ZZETF,2011-03-25,2200-01-01,etf
510220.XSHG,中小ETF,ZXETF,2011-03-28,2200-01-01,etf
510230.XSHG,金融ETF,JRETF,2011-05-23,2200-01-01,etf
510260.XSHG,新兴ETF,XXETF,2011-06-08,2020-01-14,etf
510270.XSHG,国企ETF,GQETF,2011-08-18,2200-01-01,etf
510280.XSHG,成长ETF,CZETF,2011-10-18,2019-09-27,etf
510290.XSHG,380ETF,380ETF,2011-11-08,2200-01-01,etf
510300.XSHG,300ETF,300ETF,2012-05-28,2200-01-01,etf
510310.XSHG,HS300ETF,HS300ETF,2013-03-25,2200-01-01,etf
510330.XSHG,华夏300,HX300,2013-01-16,2200-01-01,etf
510350.XSHG,工银300,GY300,2019-08-16,2200-01-01,etf
510360.XSHG,广发300,GF300,2015-09-09,2200-01-01,etf
510370.XSHG,兴业300,XY300,2020-10-27,2200-01-01,etf
510380.XSHG,国寿300,GS300,2018-02-07,2200-01-01,etf
510390.XSHG,平安300,PA300,2018-01-26,2200-01-01,etf
510410.XSHG,资源ETF,ZYETF,2012-05-11,2200-01-01,etf
510420.XSHG,180EWETF,180EWETF,2012-07-09,2019-11-07,etf
510430.XSHG,50等权,50DQ,2012-09-24,2020-12-17,etf
510440.XSHG,500沪市,500HS,2012-10-08,2200-01-01,etf
510450.XSHG,180高ETF,180GETF,2013-08-01,2016-08-23,etf
510500.XSHG,500ETF,500ETF,2013-03-15,2200-01-01,etf
510510.XSHG,广发500,GF500,2013-05-24,2200-01-01,etf
510520.XSHG,诺安500,NA500,2014-03-10,2019-10-30,etf
510530.XSHG,工银500,GY500,2020-01-03,2200-01-01,etf
510550.XSHG,方正500,FZ500,2019-01-16,2200-01-01,etf
510560.XSHG,国寿500,GS500,2015-07-03,2200-01-01,etf
510570.XSHG,兴业中证500ETF,XYZZ500ETF,2020-08-12,2200-01-01,etf
510580.XSHG,ZZ500ETF,ZZ500ETF,2015-09-14,2200-01-01,etf
510590.XSHG,平安500,PA500,2018-05-04,2200-01-01,etf
510600.XSHG,沪50ETF,H50ETF,2018-09-20,2200-01-01,etf
510610.XSHG,能源行业,NYHY,2013-05-08,2016-07-05,etf
510620.XSHG,材料行业,CLHY,2013-05-08,2016-08-12,etf
510630.XSHG,消费行业,XFHY,2013-05-08,2200-01-01,etf
510650.XSHG,金融行业,JRHY,2013-05-08,2200-01-01,etf
510660.XSHG,医药行业,YYHY,2013-05-08,2200-01-01,etf
510680.XSHG,万家50,WJ50,2013-12-02,2200-01-01,etf
510690.XSHG,180金融,180JR,2020-06-22,2200-01-01,etf
510700.XSHG,百强ETF,BQETF,2013-05-31,2016-05-12,etf
510710.XSHG,上50ETF,S50ETF,2015-06-15,2200-01-01,etf
510760.XSHG,上证ETF,SZETF,2020-09-09,2200-01-01,etf
510770.XSHG,G60创新,G60CX,2021-09-28,2200-01-01,etf
510800.XSHG,上证50,SZ50,2018-01-15,2200-01-01,etf
510810.XSHG,上海国企,SHGQ,2016-08-29,2200-01-01,etf
510820.XSHG,上海改革,SHGG,2019-07-09,2019-08-19,etf
510850.XSHG,工银上50,GYS50,2019-03-06,2200-01-01,etf
510860.XSHG,兴业50,XY50,2021-01-12,2200-01-01,etf
510880.XSHG,红利ETF,HLETF,2007-01-18,2200-01-01,etf
510890.XSHG,红利低波,HLDB,2019-06-24,2021-09-06,etf
510900.XSHG,H股ETF,HGETF,2012-10-22,2200-01-01,etf
510990.XSHG,ESG180,ESG180,2021-07-01,2200-01-01,etf
511000.XSHG,长三角债,CSJZ,2020-10-29,2021-04-16,etf
511010.XSHG,国债ETF,GZETF,2013-03-25,2200-01-01,etf
511020.XSHG,活跃国债,HYGZ,2019-02-22,2200-01-01,etf
511030.XSHG,公司债,GSZ,2019-03-22,2200-01-01,etf
511050.XSHG,兴业地债,DFZETF,2020-07-30,2021-08-30,etf
511060.XSHG,5年地债,5NDZ,2019-12-12,2200-01-01,etf
511180.XSHG,上证转债,SZZZ,2020-08-26,2200-01-01,etf
511210.XSHG,企债ETF,QZETF,2013-08-16,2018-01-25,etf
511220.XSHG,城投ETF,CTETF,2014-12-16,2200-01-01,etf
511230.XSHG,周期债,ZQZ,2017-04-21,2021-03-26,etf
511260.XSHG,十年国债,SNGZ,2017-08-24,2200-01-01,etf
511270.XSHG,10年地债,10NDZ,2018-11-22,2200-01-01,etf
511280.XSHG,中期信用,ZQXY,2018-05-31,2021-10-21,etf
511290.XSHG,国债十年,GZSN,2018-04-27,2020-10-29,etf
511310.XSHG,十年债,SNZ,2018-04-26,2200-01-01,etf
511360.XSHG,中证短融ETF,ZZDRETF,2020-09-25,2200-01-01,etf
511380.XSHG,转债ETF,ZZETF,2020-04-07,2200-01-01,etf
512000.XSHG,券商ETF,QSETF,2016-09-14,2200-01-01,etf
512010.XSHG,医药ETF,YYETF,2013-10-28,2200-01-01,etf
512040.XSHG,国信价值,GXJZ,2018-11-29,2200-01-01,etf
512070.XSHG,证券保险,FYETF,2014-07-18,2200-01-01,etf
512090.XSHG,MSCI易基,MSCIYJ,2018-06-01,2200-01-01,etf
512100.XSHG,1000ETF,1000ETF,2016-11-04,2200-01-01,etf
512110.XSHG,中证地产,ZZDC,2014-01-06,2017-01-12,etf
512120.XSHG,医药50,ZZYY,2014-01-06,2200-01-01,etf
512150.XSHG,A50ETF,A50ETF,2019-01-21,2200-01-01,etf
512160.XSHG,MSCI基金,MSCIJJ,2018-04-27,2200-01-01,etf
512170.XSHG,医疗ETF,YLETF,2019-06-17,2200-01-01,etf
512180.XSHG,建信MSCI,JXMSCI,2018-05-21,2200-01-01,etf
512190.XSHG,之江凤凰,ZJFH,2019-09-09,2200-01-01,etf
512200.XSHG,地产ETF,FDC,2017-09-25,2200-01-01,etf
512210.XSHG,景顺食品,JSSP,2014-08-19,2018-08-30,etf
512220.XSHG,科技150,JSTMT,2014-08-19,2200-01-01,etf
512230.XSHG,景顺医药,JSYY,2014-08-19,2019-01-22,etf
512260.XSHG,500低波,500DB,2019-01-11,2200-01-01,etf
512270.XSHG,300低波,300DB,2019-03-29,2021-09-22,etf
512280.XSHG,景顺MSCI,JSMSCI,2018-05-25,2200-01-01,etf
512290.XSHG,生物医药,SWYY,2019-05-20,2200-01-01,etf
512300.XSHG,500医药,500YY,2014-12-18,2021-03-11,etf
512310.XSHG,工业ETF,500GY,2015-05-08,2021-04-15,etf
512320.XSHG,工银MSCI,GYMSCI,2020-08-07,2200-01-01,etf
512330.XSHG,信息ETF,500XX,2015-07-20,2200-01-01,etf
512340.XSHG,原料ETF,500YL,2015-05-15,2021-04-15,etf
512350.XSHG,福建ETF,FJETF,2020-09-10,2200-01-01,etf
512360.XSHG,MSCI国际,MSCIGJ,2018-07-20,2200-01-01,etf
512380.XSHG,MSCI中国,YHMSCI,2019-04-30,2200-01-01,etf
512390.XSHG,MSCI低波,MSCIDB,2018-07-13,2200-01-01,etf
512400.XSHG,有色ETF,YSJS,2017-09-01,2200-01-01,etf
512480.XSHG,半导体,BDT,2019-06-12,2200-01-01,etf
512500.XSHG,中证500,ZZ500,2015-05-29,2200-01-01,etf
512510.XSHG,ETF500,ETF500,2015-06-12,2200-01-01,etf
512520.XSHG,MSCIETF,MSCIETF,2018-05-18,2200-01-01,etf
512530.XSHG,300红利,300HL,2019-09-23,2200-01-01,etf
